Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Gabon,GAB,Population growth (annual %),SP.POP.GROW,2.44452343067619,2.49743779799767,2.55000805205025,2.6010661513893,2.64983009121931,2.69501546419451,2.7357539477938,2.76353716846735,2.776401351785,2.77070484752825,2.75236397858299,2.73173336853618,2.70907334412588,2.67675649438622,2.63326815795164,2.58542895589307,2.54884240405731,2.51826181788779,2.48546258146547,2.44753603767826,2.41487017916787,2.38455966418947,2.38096199852713,2.42609669054071,2.53156298740609,2.67868734157934,2.80820991357169,2.92318367032677,3.0736777908782,3.26432366552364,3.45858613238169,3.6570478208309,3.78851340089213,3.77918069119527,3.60651493569597,3.33509878560114,3.04339515547628,2.79685556362484,2.60295406093609,2.48408920696695,..
Gabon,GAB,"Population, total",SP.POP.TOTL,726328,744696,763930,784061,805115,827108,850048,873867,898469,923711,949488,975783,1002579,1029778,1057255,1084946,1112955,1141338,1170061,1199052,1228360,1258003,1288315,1319953,1353795,1390549,1430152,1472575,1518540,1568928,1624140,1684635,1749682,1817071,1883800,1947686,2007873,2064823,2119275,2172579,..
"Gambia, The",GMB,Population growth (annual %),SP.POP.GROW,3.26628260363411,3.14091426603268,3.07490317942264,3.20506396364473,3.57638580144596,4.06311520792939,4.57242007594561,4.91736807600516,4.97865456468684,4.71737960312062,4.27142765366389,3.80692144922399,3.4458310497767,3.19774490050306,3.09526843068821,3.09213054656964,3.09847499779921,3.08192691396872,3.08383443833819,3.10195835088408,3.12723472811984,3.16490407716825,3.19720757303293,3.20006451940831,3.16352592892764,3.10616011715528,3.04337171326841,2.99611460636241,2.97018078756631,2.9740082710553,2.99540574473746,3.01840128629255,3.03042673297424,3.03482675884661,3.02604517693881,3.00847380343068,2.98860565833539,2.96856591791365,2.94672228129321,2.92185023710734,..
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,637246,657579,678113,700199,725694,755787,791147,831023,873444,915635,955593,992673,1027475,1060862,1094212,1128575,1164091,1200526,1238125,1277133,1317703,1360074,1404261,1449925,1496527,1543741,1591445,1639848,1689285,1740279,1793196,1848147,1905011,1963711,2024042,2085860,2149139,2213894,2280102,2347706,..
Georgia,GEO,Population growth (annual %),SP.POP.GROW,0.842900505178333,0.820316229275049,0.846666492599661,0.878842348486769,0.853879670691174,0.876678994769127,0.888192528985836,0.825576238611123,0.990127868199943,0.262664316118746,-0.0270683894920024,0.703475649320206,0.774511050286416,0.76855845063073,-1.5394301205047,-3.75771606823635,-3.62954607972126,-3.20751817162219,-2.474222975613,-2.05737687863556,-1.9446291567975,-1.55123839698929,-0.89725367267161,7.78601024886028,-9.08063846475098,-0.635292218459481,-0.568484712403705,-0.521646734447263,-0.303790529341209,-0.888185042750245,-0.729475256932528,-0.802164039694326,-0.736565518814038,-0.300972141406188,0.0469539002549217,0.157481405176007,0.0598165991047394,0.0133860746662629,-0.0390365463489613,-0.165625313562404,..
Georgia,GEO,"Population, total",SP.POP.TOTL,4467700,4504500,4542800,4582900,4622200,4662900,4704500,4743500,4790700,4803300,4802000,4835900,4873500,4911100,4836076,4657722,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720382,..
Germany,DEU,Population growth (annual %),SP.POP.GROW,0.207430406185115,0.152308489359723,-0.0951134365477742,-0.262152572305171,-0.345666402296961,-0.223489901582361,0.0457680639736539,0.15361757528619,0.390678960242038,0.773336990610757,0.861969448764933,0.728605546561364,0.760346946721127,0.657391218087626,0.346856648630233,0.293904443716697,0.289474899455448,0.146313281561803,0.0151436508552808,0.0646345779052372,0.135431600393084,0.168225361337335,0.168128319406931,0.0553633035873241,-0.021709727650009,-0.0567782618352031,-0.112797497644931,-0.133718572600486,-0.190142844695674,-0.253383410163402,-0.153198446937304,-1.8537146287573,0.187727800567293,0.272900214681538,0.416877359168292,0.865702643950251,0.807218538573871,0.373724559895838,0.300526701992065,0.273451073953555,..
Germany,DEU,"Population, total",SP.POP.TOTL,78288576,78407907,78333366,78128282,77858685,77684873,77720436,77839920,78144619,78751283,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83132799,..
Ghana,GHA,Population growth (annual %),SP.POP.GROW,2.29457088541131,2.6083224654182,2.85389533108065,3.00947225957734,3.04521605099906,3.00112962688906,2.93852952070962,2.89862759377415,2.87317552770495,2.87201018656331,2.88323959487959,2.89600409030313,2.89040757196834,2.85553128627959,2.78518607324294,2.69486539255905,2.6015610790494,2.52470466957705,2.4716929016464,2.44945762313831,2.44949038579631,2.44952633242917,2.44718468848992,2.45845946798943,2.48461818937994,2.51745576091081,2.55440810768466,2.57999440047216,2.57872762530211,2.54383880976307,2.48704156335604,2.42436978794571,2.36947531113389,2.32385159890097,2.29178069316277,2.26881454933197,2.24659926762795,2.22053243013657,2.19282883696746,2.16257788677108,..
Ghana,GHA,"Population, total",SP.POP.TOTL,11056116,11348289,11676823,12033575,12405660,12783613,13164837,13552021,13947042,14353410,14773277,15207367,15653336,16106765,16561674,17014057,17462496,17908985,18357156,18812359,19278856,19756928,20246381,20750299,21272323,21814642,22379055,22963946,23563825,24170940,24779619,25387710,25996449,26607642,27224472,27849205,28481946,29121471,29767108,30417856,..
