Country Name,Country Code,Series Name,Series Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Belarus,BLR,"Population, total",SP.POP.TOTL,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9483499,9466856,9459000,9449000,9436000,9420000,9404000,9386000
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.110211166,-0.002637154,-0.027176883,-0.007944471,-0.001501708,0.029786423,0.035648851,0.085252141,0.317926245,0.363247986,0.298235706,0.371593166,0.405713496,0.390638518,0.308197074,0.209436838,0.195393176,0.241991885,0.213527651,0.229189103,0.242517956,0.343951158,0.448268895,0.418641508,0.432788248,0.550055708,0.659558215,0.734330831,0.789976845,0.804599573,0.913639392,1.301002902,0.620163579,0.471340144,0.443929288,0.579446242,0.506300002,0.385228018,0.455184695,0.497584972,,,,,,
Belgium,BEL,"Population, total",SP.POP.TOTL,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11484055,11525000,11560000,11592000,11622000,11650000,11680000
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.996843481,2.338642375,2.631009162,2.812870519,2.862588675,2.812635448,2.778745494,2.763866433,2.664952755,2.45034977,2.20104244,1.888722037,1.658350843,1.682924606,2.032616773,2.585775045,3.186465435,3.637901042,3.835591807,3.72737253,3.42494863,3.084774571,2.827563862,2.650384639,2.593522892,2.604447732,2.618344801,2.60739692,2.574385215,2.520576643,2.451470158,2.381907641,2.323531697,2.256884073,2.188961079,2.118799855,2.047695884,1.980528851,1.92457577,1.883110736,,,,,,
Belize,BLZ,"Population, total",SP.POP.TOTL,144155,147566,151500,155822,160347,164921,169568,174320,179028,183469,187552,191128,194324,197622,201680,206963,213664,221580,230244,238988,247315,255063,262378,269425,276504,283800,291329,299025,306823,314655,322464,330237,338000,345715,353366,360933,368400,375769,383071,390353,398000,405000,412000,419000,427000,434000
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.689452037,2.732264894,2.777364734,2.817449088,2.851805018,2.88525963,2.902539321,2.925496746,2.988651664,3.100765565,3.235058983,3.3771591,3.479002651,3.500773846,3.426061164,3.293613638,3.145323911,3.028375321,2.958613225,2.95175447,2.983994776,3.023780214,3.043082958,3.039674832,3.005342106,2.952383516,2.897544923,2.854085561,2.823555548,2.809301752,2.806086484,2.803717973,2.797648941,2.790718131,2.782181506,2.771714168,2.761409493,2.750055592,2.734862013,2.715105359,,,,,,
Benin,BEN,"Population, total",SP.POP.TOTL,3717165,3820128,3927714,4039949,4156819,4278501,4404506,4535263,4672852,4820016,4978496,5149499,5331803,5521763,5714220,5905558,6094259,6281639,6470265,6664098,6865951,7076733,7295394,7520555,7750004,7982225,8216897,8454793,8696921,8944708,9199259,9460830,9729248,10004588,10286842,10575952,10872067,11175204,11485048,11801151,12123000,12451000,12785000,13124000,13470000,13822000
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,1.617100372,0.695079568,0.72479564,0.867463796,0.881458967,0.841855272,0.850645014,0.813844063,0.860861899,0.846658783,0.824255196,-0.514108485,-0.721776995,0.537588531,0.695976914,0.718138908,0.641047099,0.612017496,0.737226639,0.561180119,0.894182916,1.085181052,0.652758223,0.656472533,0.655349388,0.649513649,0.575178477,0.565689754,0.593330046,0.55612581,-0.780059723,-0.859898041,0.362431076,0.313281274,0.210765988,0.151985016,-1.046951883,-1.054930756,0.073583517,-0.003128911,,,,,,
Bermuda,BMU,"Population, total",SP.POP.TOTL,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65138,65237,64554,63873,63920,63918,,,,,,
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,2.912669899,2.724093455,2.555611343,2.506703867,2.615211569,2.793544853,3.05997205,3.210951244,3.034146115,2.450208306,1.638239725,0.718582153,-0.021699522,-0.359850151,-0.131330145,0.510635258,1.272221493,1.874230428,2.270173455,2.364549721,2.248358465,2.112644398,2.029819014,1.900758029,1.733113342,1.541558106,1.32773939,1.129268455,1.008172467,0.99412939,1.052929968,1.130704583,1.187928924,1.22609147,1.233911551,1.219146338,1.206226624,1.195337374,1.176843395,1.146382274,,,,,,
